Running on host cs302.hpc.nyu.edu
Directory is /scratch/yz6994/HPC_finalproj_lbm
Slurm job ID is 33438420
==done==
index = 381, local_density = 0.100000, u_x = 0.000000
index = 382, local_density = 0.100000, u_x = 0.000000
index = 383, local_density = 0.100000, u_x = 0.000000
index = 384, local_density = 0.100000, u_x = 0.000000
index = 385, local_density = 0.100000, u_x = 0.000000
index = 386, local_density = 0.100000, u_x = 0.000000
index = 387, local_density = 0.100000, u_x = 0.000000
index = 388, local_density = 0.100000, u_x = 0.000000
index = 389, local_density = 0.100000, u_x = 0.000000
index = 390, local_density = 0.100000, u_x = 0.000000
index = 391, local_density = 0.100000, u_x = 0.000000
index = 392, local_density = 0.100000, u_x = 0.000000
index = 393, local_density = 0.100000, u_x = 0.000000
index = 394, local_density = 0.100000, u_x = 0.000000
index = 395, local_density = 0.100000, u_x = 0.000000
index = 396, local_density = 0.100000, u_x = 0.000000
index = 397, local_density = 0.100000, u_x = 0.000000
index = 398, local_density = 0.100000, u_x = 0.000000
index = 399, local_density = 0.100000, u_x = 0.000000
index = 400, local_density = 0.100000, u_x = 0.000000
index = 401, local_density = 0.100000, u_x = 0.000000
index = 402, local_density = 0.100000, u_x = 0.000000
index = 403, local_density = 0.100000, u_x = 0.000000
index = 404, local_density = 0.100000, u_x = 0.000000
index = 405, local_density = 0.100000, u_x = 0.000000
index = 406, local_density = 0.100000, u_x = 0.000000
index = 407, local_density = 0.100000, u_x = 0.000000
index = 408, local_density = 0.100000, u_x = 0.000000
index = 409, local_density = 0.100000, u_x = 0.000000
index = 410, local_density = 0.100000, u_x = 0.000000
index = 411, local_density = 0.100000, u_x = 0.000000
index = 412, local_density = 0.100000, u_x = 0.000000
index = 413, local_density = 0.100000, u_x = 0.000000
index = 414, local_density = 0.100000, u_x = 0.000000
index = 415, local_density = 0.100000, u_x = 0.000000
index = 416, local_density = 0.100000, u_x = 0.000000
index = 417, local_density = 0.100000, u_x = 0.000000
index = 418, local_density = 0.100000, u_x = 0.000000
index = 419, local_density = 0.100000, u_x = 0.000000
index = 420, local_density = 0.100000, u_x = 0.000000
index = 421, local_density = 0.100000, u_x = 0.000000
index = 422, local_density = 0.100000, u_x = 0.000000
index = 423, local_density = 0.100000, u_x = 0.000000
index = 424, local_density = 0.100000, u_x = 0.000000
index = 425, local_density = 0.100000, u_x = 0.000000
index = 426, local_density = 0.100000, u_x = 0.000000
index = 427, local_density = 0.100000, u_x = 0.000000
index = 428, local_density = 0.100000, u_x = 0.000000
index = 429, local_density = 0.100000, u_x = 0.000000
index = 430, local_density = 0.100000, u_x = 0.000000
index = 431, local_density = 0.100000, u_x = 0.000000
index = 432, local_density = 0.100000, u_x = 0.000000
index = 433, local_density = 0.100000, u_x = 0.000000
index = 434, local_density = 0.100000, u_x = 0.000000
index = 435, local_density = 0.100000, u_x = 0.000000
index = 436, local_density = 0.100000, u_x = 0.000000
index = 437, local_density = 0.100000, u_x = 0.000000
index = 438, local_density = 0.100000, u_x = 0.000000
index = 439, local_density = 0.100000, u_x = 0.000000
index = 440, local_density = 0.100000, u_x = 0.000000
index = 441, local_density = 0.100000, u_x = 0.000000
index = 442, local_density = 0.100000, u_x = 0.000000
index = 443, local_density = 0.100000, u_x = 0.000000
index = 444, local_density = 0.100000, u_x = 0.000000
index = 445, local_density = 0.100000, u_x = 0.000000
index = 446, local_density = 0.100000, u_x = 0.000000
index = 447, local_density = 0.100000, u_x = 0.000000
index = 448, local_density = 0.100000, u_x = 0.000000
index = 449, local_density = 0.100000, u_x = 0.000000
